Title,Description,Expiration Date,year
A Real-Time Signal-To-Noise Ratio Estimation Technique For BPSK And QPSK Modulation Using The Active Communications Channel,A Real-Time Signal-To-Noise Ratio Estimation Technique For BPSK And QPSK Modulation Using The Active Communications Channel,2022-01-01,2022
Method Of Determining Intracranial Pressure From Skull Expansion Measurements,Method Of Determining Intracranial Pressure From Skull Expansion Measurements,2022-01-01,2022
Method For Production Of Atomic Scale Step Height Reference Specimens With Atomically Flat Surfaces,Method For Production Of Atomic Scale Step Height Reference Specimens With Atomically Flat Surfaces,2022-01-01,2022
Deceleration Limiting Safety Crash Wall,Deceleration Limiting Safety Crash Wall,2022-01-01,2022
Non-Invasive Method Of Determining Absolute Intracranial Pressure,Non-Invasive Method Of Determining Absolute Intracranial Pressure,2022-01-01,2022
Radio Frequency (RF) Telemetry System For Sensors And Actuators,Radio Frequency (RF) Telemetry System For Sensors And Actuators,2022-01-01,2022
Carbon Nanotubes As A Prototype Interface For Retinal Cell Recording And Stimulation (Vision Chip),Carbon Nanotubes As A Prototype Interface For Retinal Cell Recording And Stimulation (Vision Chip),2022-01-01,2022
Common-Layered Architecture For Semiconductor Silicon Carbide (CLASSiC) Bulk Fabrication,Common-Layered Architecture For Semiconductor Silicon Carbide (CLASSiC) Bulk Fabrication,2022-01-01,2022
Oxygen Partial Pressure Monitoring Device For Aircraft Oxygen Masks.,Oxygen Partial Pressure Monitoring Device For Aircraft Oxygen Masks.,2022-01-01,2022
Improved Processing For Polyimdes Via Concentrated Solid Monomer Reactants Approach,Improved Processing For Polyimdes Via Concentrated Solid Monomer Reactants Approach,2022-01-01,2022
"Heat, Moisture, Chemical Resistant Polyimide Compositions And Methods For Making And Using The Same","Heat, Moisture, Chemical Resistant Polyimide Compositions And Methods For Making And Using The Same",2022-01-01,2022
Methodology For The Effective Stabilization Of Tin-Oxide-Based Oxidation/Reduction Catalysts,Methodology For The Effective Stabilization Of Tin-Oxide-Based Oxidation/Reduction Catalysts,2022-01-01,2022
Polyimide Rod-Coil Block Copolymers As Membrane Materials For Ion Conduction,Polyimide Rod-Coil Block Copolymers As Membrane Materials For Ion Conduction,2022-01-01,2022
Single Vector Force Balance Calibration System,Single Vector Force Balance Calibration System,2022-01-01,2022
Adaptive Lossless Data Compression,Adaptive Lossless Data Compression,2022-01-01,2022
Technique For Non-Invasive Absolute Measurement Of Intra-Cranial Pressure In Humans,Technique For Non-Invasive Absolute Measurement Of Intra-Cranial Pressure In Humans,2022-01-01,2022
Transducer Assembly To Measure Changes In Circumferential Expansion Of The Human Skull Due To Changes In Intracranial Pressure,Transducer Assembly To Measure Changes In Circumferential Expansion Of The Human Skull Due To Changes In Intracranial Pressure,2022-01-01,2022
Receiver Controlled Phased Array Antenna,Receiver Controlled Phased Array Antenna,2022-01-01,2022
MEMS Direct Chip Attach (MEMS-DCA) Packaging Methodologies For Harsh Environments,MEMS Direct Chip Attach (MEMS-DCA) Packaging Methodologies For Harsh Environments,2022-01-01,2022
Empirical Mode Decomposition For Analyzing Acoustical Signals,Empirical Mode Decomposition For Analyzing Acoustical Signals,2022-01-01,2022
Impact And Fire Resistant Coating For Pressure Vessels,Impact And Fire Resistant Coating For Pressure Vessels,2022-01-01,2022
Method For Manufacturing High Quality Carbon Nanotubes,Method For Manufacturing High Quality Carbon Nanotubes,2022-01-01,2022
Systems And Methods For Determining Spacecraft Orientation,Systems And Methods For Determining Spacecraft Orientation,2022-01-01,2022
Panoramic Refracting Conical Optic,Panoramic Refracting Conical Optic,2022-01-01,2022
Addition Of Rangefinder To The Video Guidance Sensor,Addition Of Rangefinder To The Video Guidance Sensor,2022-01-01,2022
Spatially-modulated Auditory Alert Having Enhanced Detection,Spatially-modulated Auditory Alert Having Enhanced Detection,2022-01-01,2022
Centrifugal Adsorption Cartridge System (CACS),Centrifugal Adsorption Cartridge System (CACS),2022-01-01,2022
Aluminum Alloy And Article Cast Therefrom,Aluminum Alloy And Article Cast Therefrom,2022-01-01,2022
A Hybrid Neural Network And Support Vector Machine Method For Optimization,A Hybrid Neural Network And Support Vector Machine Method For Optimization,2022-01-01,2022
Video Image Stabilization And Registration,Video Image Stabilization And Registration,2022-01-01,2022
Magnetic Symbology Reader,Magnetic Symbology Reader,2022-01-01,2022
A Plasma Apparatus And Process For Functionalization Of Carbon Nanotubes,A Plasma Apparatus And Process For Functionalization Of Carbon Nanotubes,2022-01-01,2022
Dielectric Electrostatic Ultrasonic Transducer (DEUT),Dielectric Electrostatic Ultrasonic Transducer (DEUT),2022-01-01,2022
"Full-Cycle, Low Loss, Low Distortion Phase Modulation From Multi-Layered Dielectric Stack With Terahertz Optical Bandwidth","Full-Cycle, Low Loss, Low Distortion Phase Modulation From Multi-Layered Dielectric Stack With Terahertz Optical Bandwidth",2022-01-01,2022
Innovative Manufacturing Procedure For Low Cost And High Quality Carbon Nanotubes,Innovative Manufacturing Procedure For Low Cost And High Quality Carbon Nanotubes,2022-01-01,2022
Thrust Rollers,Thrust Rollers,2022-01-01,2022
Smart Thermal Management Coating,Smart Thermal Management Coating,2022-01-01,2022
Improved Functionalization Of Carbon Nanotubes,Improved Functionalization Of Carbon Nanotubes,2022-01-01,2022
Fabrication Of Fiber-Optic Gratings Over A Wide Range Of Bragg Wavelength And Bandwidth Using A Single Phase Mask,Fabrication Of Fiber-Optic Gratings Over A Wide Range Of Bragg Wavelength And Bandwidth Using A Single Phase Mask,2022-01-01,2022
Metallic Nanowire Interconnections For Integrated Circuit Fabrication,Metallic Nanowire Interconnections For Integrated Circuit Fabrication,2023-01-01,2023
Light Weight Optical Mirrors Formed In Single Crystal Silicon,Light Weight Optical Mirrors Formed In Single Crystal Silicon,2023-01-01,2023
Torsional Magnetorheological Fluid Resistant Device (TMRFRD),Torsional Magnetorheological Fluid Resistant Device (TMRFRD),2023-01-01,2023
"Self-Sealing, Smart, Variable Area Nozzle (S3VAN) For Dynamic Flow Control In Gas Turbine Engines","Self-Sealing, Smart, Variable Area Nozzle (S3VAN) For Dynamic Flow Control In Gas Turbine Engines",2023-01-01,2023
Microwave Ablation Of Prostatic Cells Using A Separated Antenna Array,Microwave Ablation Of Prostatic Cells Using A Separated Antenna Array,2023-01-01,2023
Wireless Consumer Power,Wireless Consumer Power,2023-01-01,2023
Normalized Amplitude Hilbert Transform (NAHT): A New Algorithm For Computing Instantaneous Frequency,Normalized Amplitude Hilbert Transform (NAHT): A New Algorithm For Computing Instantaneous Frequency,2023-01-01,2023
Carbon Nanotube Bucky Paper Cages For Immune Shielding Of Cells And Tissue For Transplantation,Carbon Nanotube Bucky Paper Cages For Immune Shielding Of Cells And Tissue For Transplantation,2023-01-01,2023
Coplanar Waveguide Ice Detection Sensor,Coplanar Waveguide Ice Detection Sensor,2023-01-01,2023
A Comprehensive C++ Controller For A Magnetically Supported Vertical Rotor: Version 1.0,A Comprehensive C++ Controller For A Magnetically Supported Vertical Rotor: Version 1.0,2023-01-01,2023
An Environmentally Compatible Method To Purify Carbon Nanotubes,An Environmentally Compatible Method To Purify Carbon Nanotubes,2023-01-01,2023
"A Real-Time, High Frequency QRS Electrocardiograph.","A Real-Time, High Frequency QRS Electrocardiograph.",2023-01-01,2023
Acoustic Seal,Acoustic Seal,2023-01-01,2023
ENCRYPTING DIGITAL CAMERA,ENCRYPTING DIGITAL CAMERA,2023-01-01,2023
Production Of Functional Proteins: Balance Of Shear Stress And Gravity,Production Of Functional Proteins: Balance Of Shear Stress And Gravity,2023-01-01,2023
Embedded Carbon Nanotube Array As High Performance Thermal Conductors,Embedded Carbon Nanotube Array As High Performance Thermal Conductors,2023-01-01,2023
Software For System For Controlling A Magnetically Levitated Rotor,Software For System For Controlling A Magnetically Levitated Rotor,2023-01-01,2023
Mechanically Improved Interphase Coating For Silicon-Carbide Fiber-Reinforced Silicon-Carbide Matrix Composites,Mechanically Improved Interphase Coating For Silicon-Carbide Fiber-Reinforced Silicon-Carbide Matrix Composites,2023-01-01,2023
"Auto-Routable, Configurable, Daisy Chainable Data Acquisition System","Auto-Routable, Configurable, Daisy Chainable Data Acquisition System",2023-01-01,2023
Portable Catapult Launcher For Small Aircraft,Portable Catapult Launcher For Small Aircraft,2023-01-01,2023
Advanced Video Guidance Sensor Software,Advanced Video Guidance Sensor Software,2023-01-01,2023
Fiber-Coupled Laser Diodes With Even Illumination Pattern,Fiber-Coupled Laser Diodes With Even Illumination Pattern,2023-01-01,2023
A Simple Countermeasure For Management Of Motion Sickness And Vestibular/Sensory-Motor Problems Associated With Space Flight And Terrestial Motion Sickness,A Simple Countermeasure For Management Of Motion Sickness And Vestibular/Sensory-Motor Problems Associated With Space Flight And Terrestial Motion Sickness,2023-01-01,2023
High Strength Aluminum Alloy For High Temperature Applications,High Strength Aluminum Alloy For High Temperature Applications,2023-01-01,2023
Autonomous Health Monitoring Architecture Hardware,Autonomous Health Monitoring Architecture Hardware,2023-01-01,2023
Partial-Span Slotted Wing For Transonic Aircraft,Partial-Span Slotted Wing For Transonic Aircraft,2023-01-01,2023
Integrated Rangefinding Measurement In Video Guidance Sensor,Integrated Rangefinding Measurement In Video Guidance Sensor,2023-01-01,2023
Electro-Mechanically Actuated Propellant Valve,Electro-Mechanically Actuated Propellant Valve,2023-01-01,2023
Single Ball Bearing Lubricant And Material Evaluator,Single Ball Bearing Lubricant And Material Evaluator,2023-01-01,2023
Method Of Fabricating A Protective Crucible Wall Coating Incorporating Designed Multi-Use Channels,Method Of Fabricating A Protective Crucible Wall Coating Incorporating Designed Multi-Use Channels,2023-01-01,2023
Liquid Propellant Tracing Impingement Injector,Liquid Propellant Tracing Impingement Injector,2023-01-01,2023
Advanced XML Database Integration Technique For Managing Unstructured Documents (NETMARK) (Part of NTTS Suite),Advanced XML Database Integration Technique For Managing Unstructured Documents (NETMARK) (Part of NTTS Suite),2023-01-01,2023
Hypergolic Ignitor,Hypergolic Ignitor,2023-01-01,2023
Slotted Aircraft Wing (a.k.a. Full Span Slotted Wing),Slotted Aircraft Wing (a.k.a. Full Span Slotted Wing),2023-01-01,2023
Electrodynamic Tether System Design For Spacecraft Deorbit,Electrodynamic Tether System Design For Spacecraft Deorbit,2023-01-01,2023
Digital Equivalent System (DEDS) For X-Ray Flourescent Spectral Output,Digital Equivalent System (DEDS) For X-Ray Flourescent Spectral Output,2023-01-01,2023
Variable Distance Angular Symbology Reader,Variable Distance Angular Symbology Reader,2023-01-01,2023
Time Frequency Analysis Based On Extrema Sifting,Time Frequency Analysis Based On Extrema Sifting,2023-01-01,2023
Sonic Transducers And Sensors Using Radial Field Diaphragms,Sonic Transducers And Sensors Using Radial Field Diaphragms,2023-01-01,2023
Conceptual Design Of A 3D Imaging Lidar For High-Resolution Mapping Of The Surface Topography Of Moons Or Planets From Space,Conceptual Design Of A 3D Imaging Lidar For High-Resolution Mapping Of The Surface Topography Of Moons Or Planets From Space,2023-01-01,2023
Communication Using VCSEL Laser Array,Communication Using VCSEL Laser Array,2023-01-01,2023
Method For Measuring Thickness Of Small Radius Of Curvature Structures Using A Thermal Line Scanner,Method For Measuring Thickness Of Small Radius Of Curvature Structures Using A Thermal Line Scanner,2023-01-01,2023
Practical Active Capacitor Filter,Practical Active Capacitor Filter,2023-01-01,2023
Radial Electric Field Piezo-Diaphragm Fluidic Control Systems,Radial Electric Field Piezo-Diaphragm Fluidic Control Systems,2023-01-01,2023
Manufacture Of Porous Net-Shaped Materials Comprising Alpha Or Beta Tricalcium Phosphate Or Mixtures Thereof,Manufacture Of Porous Net-Shaped Materials Comprising Alpha Or Beta Tricalcium Phosphate Or Mixtures Thereof,2023-01-01,2023
"Electrically Conductive, Optically Transparent Polymer/Carbon Nanotube Composites And Process For Preparation Thereof","Electrically Conductive, Optically Transparent Polymer/Carbon Nanotube Composites And Process For Preparation Thereof",2023-01-01,2023
Ruthenium Stabilization Mechanism For Next Generation Oxidation And Reduction Catalyst Systems,Ruthenium Stabilization Mechanism For Next Generation Oxidation And Reduction Catalyst Systems,2023-01-01,2023
LC Sensing Element For Closed Cavities Having Low Radio Frequency Transmissivity,LC Sensing Element For Closed Cavities Having Low Radio Frequency Transmissivity,2024-01-01,2024
Magnetic Field Response Sensor For Conductive Media,Magnetic Field Response Sensor For Conductive Media,2024-01-01,2024
Laser-Induced Fabrication Of Metallic Interlayers And Patterns In Polyimide Films,Laser-Induced Fabrication Of Metallic Interlayers And Patterns In Polyimide Films,2024-01-01,2024
Display Of Aircraft Energy State For Flight Operations Quality Assurance (FOQA) Programs,Display Of Aircraft Energy State For Flight Operations Quality Assurance (FOQA) Programs,2024-01-01,2024
Tri-Sector Deployable Array Antenna,Tri-Sector Deployable Array Antenna,2024-01-01,2024
Real-Time Analysis And Display Of Aircraft Approach Maneuvers,Real-Time Analysis And Display Of Aircraft Approach Maneuvers,2024-01-01,2024
Low Voltage Electron Beam Solid Freeform Fabrication System,Low Voltage Electron Beam Solid Freeform Fabrication System,2024-01-01,2024
Polyimide Foams,Polyimide Foams,2024-01-01,2024
Carbon Nanotube Growth Density Control,Carbon Nanotube Growth Density Control,2024-01-01,2024
Low-Noise Fan Exit Guide Vanes,Low-Noise Fan Exit Guide Vanes,2024-01-01,2024
Pulse-Flow Microencapsulation System,Pulse-Flow Microencapsulation System,2024-01-01,2024
Deriving Formal Specifications And Code From Scenarios,Deriving Formal Specifications And Code From Scenarios,2024-01-01,2024
Magnetic Field Response Measurement Acquisition System,Magnetic Field Response Measurement Acquisition System,2024-01-01,2024
"Magnetic Field Response Measurement Acquisition System (Includes LAR-16138-1, LAR-16554-1, LAR-16591-1, LAR-16614-1, LAR-16617-1, & LAR-16908-1)","Magnetic Field Response Measurement Acquisition System (Includes LAR-16138-1, LAR-16554-1, LAR-16591-1, LAR-16614-1, LAR-16617-1, & LAR-16908-1)",2024-01-01,2024
Global Distribution Of Large Fluvial Fans/Potential Hydrocarbon Exploration Guide,Global Distribution Of Large Fluvial Fans/Potential Hydrocarbon Exploration Guide,2024-01-01,2024
Use Of A Single Electrode To Orient Carbon Nanotube Growth,Use Of A Single Electrode To Orient Carbon Nanotube Growth,2024-01-01,2024
Blown Channel-Wing System For Thrust Deflection And Force/Moment Generation,Blown Channel-Wing System For Thrust Deflection And Force/Moment Generation,2024-01-01,2024
CNT based crack growth detector and strain field monitor,CNT based crack growth detector and strain field monitor,2024-01-01,2024
Microcapsule Flow Sensor,Microcapsule Flow Sensor,2024-01-01,2024
Ultrasonic Method And Means To Assess Compartment Syndrome Part B,Ultrasonic Method And Means To Assess Compartment Syndrome Part B,2024-01-01,2024
Catalyst For Treatment And Control Of Post-Combustion Emissions,Catalyst For Treatment And Control Of Post-Combustion Emissions,2024-01-01,2024
Carbon Nanotube-Based Structural Health Monitoring Sensor,Carbon Nanotube-Based Structural Health Monitoring Sensor,2024-01-01,2024
Method And Apparatus For Loss Of Control Inhibitor Systems,Method And Apparatus For Loss Of Control Inhibitor Systems,2024-01-01,2024
Nanopore Pipetts For Structural Characterization Of Single Polymeric Biomelecules,Nanopore Pipetts For Structural Characterization Of Single Polymeric Biomelecules,2024-01-01,2024
Process For Improving Properties Of Silicon Carbide (SiC) Fibers And SiC Fiber-Reinforced Ceramic Matrix Composites,Process For Improving Properties Of Silicon Carbide (SiC) Fibers And SiC Fiber-Reinforced Ceramic Matrix Composites,2024-01-01,2024
Hand Held Device For Wireless Powering And Interrogation Of BioMEMS Sensors And Actuators,Hand Held Device For Wireless Powering And Interrogation Of BioMEMS Sensors And Actuators,2024-01-01,2024
Flow-Field Control-Rods To Stabilize Flow In A Centrifugal Compressor,Flow-Field Control-Rods To Stabilize Flow In A Centrifugal Compressor,2024-01-01,2024
Hybrid Power Management (HPM) Upgrade,Hybrid Power Management (HPM) Upgrade,2024-01-01,2024
Unitized Regenerative Fuel Cell System,Unitized Regenerative Fuel Cell System,2024-01-01,2024
Large Area Permanent Magnet ECR Plasma Source,Large Area Permanent Magnet ECR Plasma Source,2024-01-01,2024
Slotted Antenna Rectangular Waveguide Plasma Source For Ion Beam And Electron Beam Production,Slotted Antenna Rectangular Waveguide Plasma Source For Ion Beam And Electron Beam Production,2024-01-01,2024
New Ion Conducting Organic/Inorganic Hybrid Polymers,New Ion Conducting Organic/Inorganic Hybrid Polymers,2024-01-01,2024
MEMS Direct Chip Attach Packaging Methodologies And Apparatus For Harsh Environments,MEMS Direct Chip Attach Packaging Methodologies And Apparatus For Harsh Environments,2024-01-01,2024
Skin Modified Aerogel Monoliths For Improved Ruggedness And Lower Hydrophylicity,Skin Modified Aerogel Monoliths For Improved Ruggedness And Lower Hydrophylicity,2024-01-01,2024
The Electrochemical Biosensors Using Carbon Nanotube Nanoelectrode Arrays,The Electrochemical Biosensors Using Carbon Nanotube Nanoelectrode Arrays,2024-01-01,2024
Low Density High Creep Resistant Single Crystal Superalloy For Turbine Airfoils,Low Density High Creep Resistant Single Crystal Superalloy For Turbine Airfoils,2024-01-01,2024
Cathode Luminescence Light Source For Broad Band Application In The Visible,Cathode Luminescence Light Source For Broad Band Application In The Visible,2024-01-01,2024
Radio-Frequency Driven Dielectric Heaters For Non-Nuclear Testing In Nuclear Core Development,Radio-Frequency Driven Dielectric Heaters For Non-Nuclear Testing In Nuclear Core Development,2024-01-01,2024
Future ATM (Air Traffic Management) Concepts Evaluation Tool (FACET),Future ATM (Air Traffic Management) Concepts Evaluation Tool (FACET),2024-01-01,2024
Future ATM (Air Traffic Management) Concepts Evaluation Tool (FACET),Future ATM (Air Traffic Management) Concepts Evaluation Tool (FACET),2024-01-01,2024
Metrics For Body Sensing System,Metrics For Body Sensing System,2024-01-01,2024
Micro-Commanding Servo Motor Controller With Greater Than Fifty Million To One Dynamic Rate Range,Micro-Commanding Servo Motor Controller With Greater Than Fifty Million To One Dynamic Rate Range,2024-01-01,2024
High Tg Polyimides For Resin Transfer Molding (RTM),High Tg Polyimides For Resin Transfer Molding (RTM),2024-01-01,2024
SELF-MOUNTABLE AND EXTRACTABLE ULTRASONIC/SONIC ANCHOR (U/S-Anchor),SELF-MOUNTABLE AND EXTRACTABLE ULTRASONIC/SONIC ANCHOR (U/S-Anchor),2024-01-01,2024
Instrumented Crimping Tool For Critical Wiring Applications,Instrumented Crimping Tool For Critical Wiring Applications,2024-01-01,2024
Application Of HHT To Financial Data Analysis For Define Volatility And Trend,Application Of HHT To Financial Data Analysis For Define Volatility And Trend,2024-01-01,2024
Sample Handling Device For X-ray Diffraction Instruments,Sample Handling Device For X-ray Diffraction Instruments,2024-01-01,2024
Intelligent Weather Agent,Intelligent Weather Agent,2024-01-01,2024
Carbon Nanotube Based Light Sensor,Carbon Nanotube Based Light Sensor,2024-01-01,2024
Bucky Paper As An Artificial Support Membrane In Retinal Cell Transplantation,Bucky Paper As An Artificial Support Membrane In Retinal Cell Transplantation,2024-01-01,2024
A Versatile Platform For Nanotechnology Based On Circular Permutations Of Chaperonin Protein,A Versatile Platform For Nanotechnology Based On Circular Permutations Of Chaperonin Protein,2024-01-01,2024
Nanoengineered Thermal Materials Based On Carbon Nanotube Array Composites,Nanoengineered Thermal Materials Based On Carbon Nanotube Array Composites,2024-01-01,2024
Information Display System For Atypical Flight Phase,Information Display System For Atypical Flight Phase,2024-01-01,2024
Ordered Biological Nanostructures Formed From Chaperonin Polypeptides,Ordered Biological Nanostructures Formed From Chaperonin Polypeptides,2024-01-01,2024
Toughened Uni-piece Fibrous Reduced Oxidation Ceramic (TUFROC) Light-Weight Thermal Protection System For Use On Space Vehicles During Atmospheric Entry At Hypersonic Speed,Toughened Uni-piece Fibrous Reduced Oxidation Ceramic (TUFROC) Light-Weight Thermal Protection System For Use On Space Vehicles During Atmospheric Entry At Hypersonic Speed,2024-01-01,2024
High-Efficiency Tantalum-Based Ceramics (HETC),High-Efficiency Tantalum-Based Ceramics (HETC),2024-01-01,2024
Toughened Uni-piece Fibrous Reinforced Oxidation-Resistant Composite (TUFROC),Toughened Uni-piece Fibrous Reinforced Oxidation-Resistant Composite (TUFROC),2024-01-01,2024
A Concept For Suppressing Sublimation In Advanced Thermoelectric Devices,A Concept For Suppressing Sublimation In Advanced Thermoelectric Devices,2024-01-01,2024
Video Sensor With Range Measurement Capability,Video Sensor With Range Measurement Capability,2025-01-01,2025
Analog Nonvolatile Computer Memory,Analog Nonvolatile Computer Memory,2025-01-01,2025
Method For Zero Emission Liquid Hydrogen Production From Methane & Landfill Gas,Method For Zero Emission Liquid Hydrogen Production From Methane & Landfill Gas,2025-01-01,2025
Double-Vacuum Bag (DVB) Process For Volatile Management In Resin Matrix Composite Manufacturing,Double-Vacuum Bag (DVB) Process For Volatile Management In Resin Matrix Composite Manufacturing,2025-01-01,2025
Lattice Matched SiGe Layer On Single Crystalline Sapphire Substrate,Lattice Matched SiGe Layer On Single Crystalline Sapphire Substrate,2025-01-01,2025
Optimal Design Geometry For All Friction Stir Weld Tools,Optimal Design Geometry For All Friction Stir Weld Tools,2025-01-01,2025
"An Extended Lee-Kesler Equation-of-State (ELK-EoS) For The Volumetric And Thermodynamic Properties Of Propellant Fluids, Including The Non-Polar Quantum And Polar Fluids","An Extended Lee-Kesler Equation-of-State (ELK-EoS) For The Volumetric And Thermodynamic Properties Of Propellant Fluids, Including The Non-Polar Quantum And Polar Fluids",2025-01-01,2025
Global Radius Of Curvature Estimation And Control System For Segmented Mirrors (GRoCECS),Global Radius Of Curvature Estimation And Control System For Segmented Mirrors (GRoCECS),2025-01-01,2025
"Gas Volume Contents Within A Container, Smart Volume Instrument","Gas Volume Contents Within A Container, Smart Volume Instrument",2025-01-01,2025
Improved Pressure Vessel Impact Resistance Utilizing Filament Wound Hybrid Fibers,Improved Pressure Vessel Impact Resistance Utilizing Filament Wound Hybrid Fibers,2025-01-01,2025
High Performance High Efficiency Hybrid Actuator Systems (HYBAS),High Performance High Efficiency Hybrid Actuator Systems (HYBAS),2025-01-01,2025
Elimination Of Parameter Input Requirement For Elliptic Grid Generation Methods In Engineering,Elimination Of Parameter Input Requirement For Elliptic Grid Generation Methods In Engineering,2025-01-01,2025
MEMS- Micro-Translation Stage With Indefinite Linear Travel Capability,MEMS- Micro-Translation Stage With Indefinite Linear Travel Capability,2025-01-01,2025
Selective Functionalization Of Carbon Nanotubes Based Upon Distance Traveled,Selective Functionalization Of Carbon Nanotubes Based Upon Distance Traveled,2025-01-01,2025
A Method Of Converting Quantum Wells From Type-II To Type-I And Of Enhancing Interband Optical Gain,A Method Of Converting Quantum Wells From Type-II To Type-I And Of Enhancing Interband Optical Gain,2025-01-01,2025
Polyimide Foams,Polyimide Foams,2025-01-01,2025
Spatial Standard Observer,Spatial Standard Observer,2025-01-01,2025
Achromatic Shearing Phase Sensor For Phase Alignment Of A Segmented Telescope,Achromatic Shearing Phase Sensor For Phase Alignment Of A Segmented Telescope,2025-01-01,2025
Toughened Composite Structures,Toughened Composite Structures,2025-01-01,2025
"Methods Of Mounting Erectable, Flexible And Fixed Magnetic Field Response Sensors","Methods Of Mounting Erectable, Flexible And Fixed Magnetic Field Response Sensors",2025-01-01,2025
Inductive Monitoring System - System Health Monitoring Software That Learns System Behavior From Data (IMS),Inductive Monitoring System - System Health Monitoring Software That Learns System Behavior From Data (IMS),2025-01-01,2025
"Resilient, Flexible, Pressure-Activated Seal","Resilient, Flexible, Pressure-Activated Seal",2025-01-01,2025
Selective Wavelength Filtering,Selective Wavelength Filtering,2025-01-01,2025
Discharge Based Gas Sensor Array Using Self-Oriented Regular Vertical Array Of Carbon Nanotubes,Discharge Based Gas Sensor Array Using Self-Oriented Regular Vertical Array Of Carbon Nanotubes,2025-01-01,2025
MOLECULAR SPECIFIC ANTIBODIES AGAINST UROKINASE,MOLECULAR SPECIFIC ANTIBODIES AGAINST UROKINASE,2025-01-01,2025
Delay Banking: Collaborative Decision Making For Airspace-user Priority In Tactical Flow Restrictions,Delay Banking: Collaborative Decision Making For Airspace-user Priority In Tactical Flow Restrictions,2025-01-01,2025
Method For Diagnosis Of Coronary Artery Disease And Related Conditions Using 12-Lead High Frequency QRS Electrocardiography,Method For Diagnosis Of Coronary Artery Disease And Related Conditions Using 12-Lead High Frequency QRS Electrocardiography,2025-01-01,2025
Bi-Electrode Supported Cell For High Power Density Solid Oxide Fuel Cells,Bi-Electrode Supported Cell For High Power Density Solid Oxide Fuel Cells,2025-01-01,2025
Method of Fabricating Silicon Carbide Corrugated Diaphragms and Modular Actuator,Method of Fabricating Silicon Carbide Corrugated Diaphragms and Modular Actuator,2025-01-01,2025
Elimination Of Lifetime Limiting Mechanism Of Hall Thrusters,Elimination Of Lifetime Limiting Mechanism Of Hall Thrusters,2025-01-01,2025
Nano-Encapsulated Aerogel,Nano-Encapsulated Aerogel,2025-01-01,2025
Side Sliding Microactuator,Side Sliding Microactuator,2025-01-01,2025
Sub Auditory Speech Recognition Based On Electromyographic Signals,Sub Auditory Speech Recognition Based On Electromyographic Signals,2025-01-01,2025
Torquing Tool Attachment For Round Connectors With Attached Cables,Torquing Tool Attachment For Round Connectors With Attached Cables,2025-01-01,2025
Magnetic Capture Docking Mechanism,Magnetic Capture Docking Mechanism,2025-01-01,2025
Detection Of Presence Of Chemical Precursors,Detection Of Presence Of Chemical Precursors,2025-01-01,2025
Method And Apparatus For Loss Of Control Inhibitor Systems,Method And Apparatus For Loss Of Control Inhibitor Systems,2025-01-01,2025
Multi-Layer Electroactive Devices,Multi-Layer Electroactive Devices,2025-01-01,2025
Magnetic Circuit For Hall Effect Plasma Accelerator,Magnetic Circuit For Hall Effect Plasma Accelerator,2025-01-01,2025
Rotor Blade Vortex Management Via Boundary Layer Separation Control,Rotor Blade Vortex Management Via Boundary Layer Separation Control,2025-01-01,2025
Carrier Structure For Packaging Microphotonic Millimeter-Wave Receiver Based On Lithium Niobate Electro-Optic Resonator Disk Technology,Carrier Structure For Packaging Microphotonic Millimeter-Wave Receiver Based On Lithium Niobate Electro-Optic Resonator Disk Technology,2025-01-01,2025
Method For Determining Cracks On And Within Composite Panels,Method For Determining Cracks On And Within Composite Panels,2025-01-01,2025
Blowing Flap Side Edge,Blowing Flap Side Edge,2025-01-01,2025
Very Large Area/Volume Microwave ECR Plasma And Ion Source,Very Large Area/Volume Microwave ECR Plasma And Ion Source,2025-01-01,2025
Articulating Subject Support For Resistive Exercise In The Horizontal Position,Articulating Subject Support For Resistive Exercise In The Horizontal Position,2025-01-01,2025
Water Outlet Control Mechanism For Fuel Cell System Operation In Variable Gravity Environments,Water Outlet Control Mechanism For Fuel Cell System Operation In Variable Gravity Environments,2025-01-01,2025
Sound Shield,Sound Shield,2025-01-01,2025
Large Area Vacuum Ultra-Violet Sensors,Large Area Vacuum Ultra-Violet Sensors,2025-01-01,2025
SMART Solar Sail,SMART Solar Sail,2025-01-01,2025
Method To Linearize Non-Linear Physical Measurements,Method To Linearize Non-Linear Physical Measurements,2025-01-01,2025
Composite Roll Press And Processes,Composite Roll Press And Processes,2025-01-01,2025
"Method And System For Training Psychophysiological Skills Conducive To Optimal Performance Through Perturbation Of Training Tasks, Environments And Devices","Method And System For Training Psychophysiological Skills Conducive To Optimal Performance Through Perturbation Of Training Tasks, Environments And Devices",2025-01-01,2025
Evolvable Neural Software System,Evolvable Neural Software System,2025-01-01,2025
"Method And Associated Apparatus For Capturing, Servicing, And De-Orbiting Earth Satellites Using Robotics","Method And Associated Apparatus For Capturing, Servicing, And De-Orbiting Earth Satellites Using Robotics",2025-01-01,2025
Anti-Backlash Gear-Bearings,Anti-Backlash Gear-Bearings,2025-01-01,2025
Stability Spectrum Through Hilbert-Huang Transform,Stability Spectrum Through Hilbert-Huang Transform,2025-01-01,2025
"Method And Associated Apparatus For Capturing, Servicing And De-Orbiting Earth Satellites Using Robotics","Method And Associated Apparatus For Capturing, Servicing And De-Orbiting Earth Satellites Using Robotics",2025-01-01,2025
